Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Train Epoch: 1 [0/49000 (0%)]	Train Loss: 2.302586	Val Loss: 2.302691	Val Acc: 8
Train Epoch: 1 [2000/49000 (4%)]	Train Loss: 2.299223	Val Loss: 2.375520	Val Acc: 11
Train Epoch: 1 [4000/49000 (8%)]	Train Loss: 2.676050	Val Loss: 2.493380	Val Acc: 11
Train Epoch: 1 [6000/49000 (12%)]	Train Loss: 2.508860	Val Loss: 2.306803	Val Acc: 15
Train Epoch: 1 [8000/49000 (16%)]	Train Loss: 2.276643	Val Loss: 2.251978	Val Acc: 11
Train Epoch: 1 [10000/49000 (20%)]	Train Loss: 2.130220	Val Loss: 2.120754	Val Acc: 21
Train Epoch: 1 [12000/49000 (24%)]	Train Loss: 2.185492	Val Loss: 2.070163	Val Acc: 24
Train Epoch: 1 [14000/49000 (29%)]	Train Loss: 1.985587	Val Loss: 2.067250	Val Acc: 27
Train Epoch: 1 [16000/49000 (33%)]	Train Loss: 1.900365	Val Loss: 1.992839	Val Acc: 31
Train Epoch: 1 [18000/49000 (37%)]	Train Loss: 1.861351	Val Loss: 1.931094	Val Acc: 29
Train Epoch: 1 [20000/49000 (41%)]	Train Loss: 1.820915	Val Loss: 1.836858	Val Acc: 33
Train Epoch: 1 [22000/49000 (45%)]	Train Loss: 1.745535	Val Loss: 1.764293	Val Acc: 36
Train Epoch: 1 [24000/49000 (49%)]	Train Loss: 1.702115	Val Loss: 1.704130	Val Acc: 38
Train Epoch: 1 [26000/49000 (53%)]	Train Loss: 1.618343	Val Loss: 1.716180	Val Acc: 35
Train Epoch: 1 [28000/49000 (57%)]	Train Loss: 1.753763	Val Loss: 1.629213	Val Acc: 40
Train Epoch: 1 [30000/49000 (61%)]	Train Loss: 1.678392	Val Loss: 1.635576	Val Acc: 41
Train Epoch: 1 [32000/49000 (65%)]	Train Loss: 1.570447	Val Loss: 1.574921	Val Acc: 43
Train Epoch: 1 [34000/49000 (69%)]	Train Loss: 1.671612	Val Loss: 1.577485	Val Acc: 42
Train Epoch: 1 [36000/49000 (73%)]	Train Loss: 1.491606	Val Loss: 1.584005	Val Acc: 42
Train Epoch: 1 [38000/49000 (78%)]	Train Loss: 1.521093	Val Loss: 1.532481	Val Acc: 45
Train Epoch: 1 [40000/49000 (82%)]	Train Loss: 1.563405	Val Loss: 1.508272	Val Acc: 43
Train Epoch: 1 [42000/49000 (86%)]	Train Loss: 1.585775	Val Loss: 1.504265	Val Acc: 44
Train Epoch: 1 [44000/49000 (90%)]	Train Loss: 1.524784	Val Loss: 1.528723	Val Acc: 41
