Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Train Epoch: 1 [0/49000 (0%)]	Train Loss: 2.302586	Val Loss: 2.302666	Val Acc: 7
Train Epoch: 1 [2000/49000 (4%)]	Train Loss: 2.300152	Val Loss: 2.664241	Val Acc: 12
Train Epoch: 1 [4000/49000 (8%)]	Train Loss: 2.526096	Val Loss: 2.258962	Val Acc: 12
Train Epoch: 1 [6000/49000 (12%)]	Train Loss: 2.233197	Val Loss: 2.280984	Val Acc: 14
Train Epoch: 1 [8000/49000 (16%)]	Train Loss: 1.943794	Val Loss: 1.989896	Val Acc: 27
Train Epoch: 1 [10000/49000 (20%)]	Train Loss: 1.924786	Val Loss: 1.965133	Val Acc: 29
Train Epoch: 1 [12000/49000 (24%)]	Train Loss: 2.051051	Val Loss: 1.905043	Val Acc: 31
Train Epoch: 1 [14000/49000 (29%)]	Train Loss: 1.852438	Val Loss: 1.864830	Val Acc: 32
Train Epoch: 1 [16000/49000 (33%)]	Train Loss: 1.697432	Val Loss: 1.769327	Val Acc: 37
Train Epoch: 1 [18000/49000 (37%)]	Train Loss: 1.688350	Val Loss: 1.725418	Val Acc: 40
Train Epoch: 1 [20000/49000 (41%)]	Train Loss: 1.747028	Val Loss: 1.758201	Val Acc: 36
Train Epoch: 1 [22000/49000 (45%)]	Train Loss: 1.854644	Val Loss: 1.640160	Val Acc: 42
Train Epoch: 1 [24000/49000 (49%)]	Train Loss: 1.535347	Val Loss: 1.601283	Val Acc: 41
Train Epoch: 1 [26000/49000 (53%)]	Train Loss: 1.567016	Val Loss: 1.568596	Val Acc: 42
Train Epoch: 1 [28000/49000 (57%)]	Train Loss: 1.584036	Val Loss: 1.610262	Val Acc: 41
Train Epoch: 1 [30000/49000 (61%)]	Train Loss: 1.522198	Val Loss: 1.593071	Val Acc: 42
Train Epoch: 1 [32000/49000 (65%)]	Train Loss: 1.511751	Val Loss: 1.518285	Val Acc: 45
Train Epoch: 1 [34000/49000 (69%)]	Train Loss: 1.665535	Val Loss: 1.487014	Val Acc: 43
Train Epoch: 1 [36000/49000 (73%)]	Train Loss: 1.492111	Val Loss: 1.510137	Val Acc: 46
Train Epoch: 1 [38000/49000 (78%)]	Train Loss: 1.371248	Val Loss: 1.443195	Val Acc: 47
Train Epoch: 1 [40000/49000 (82%)]	Train Loss: 1.401869	Val Loss: 1.465657	Val Acc: 45
Train Epoch: 1 [42000/49000 (86%)]	Train Loss: 1.439837	Val Loss: 1.454601	Val Acc: 50
Train Epoch: 1 [44000/49000 (90%)]	Train Loss: 1.366520	Val Loss: 1.435691	Val Acc: 47
Train Epoch: 1 [46000/49000 (94%)]	Train Loss: 1.330049	Val Loss: 1.432377	Val Acc: 49
Train Epoch: 1 [48000/49000 (98%)]	Train Loss: 1.483273	Val Loss: 1.429671	Val Acc: 49
Train Epoch: 2 [0/49000 (0%)]	Train Loss: 1.490960	Val Loss: 1.395617	Val Acc: 51
Train Epoch: 2 [2000/49000 (4%)]	Train Loss: 1.352587	Val Loss: 1.391273	Val Acc: 51
Train Epoch: 2 [4000/49000 (8%)]	Train Loss: 1.351879	Val Loss: 1.388894	Val Acc: 50
Train Epoch: 2 [6000/49000 (12%)]	Train Loss: 1.364347	Val Loss: 1.398961	Val Acc: 51
Train Epoch: 2 [8000/49000 (16%)]	Train Loss: 1.521287	Val Loss: 1.430470	Val Acc: 49
Train Epoch: 2 [10000/49000 (20%)]	Train Loss: 1.361375	Val Loss: 1.335084	Val Acc: 52
Train Epoch: 2 [12000/49000 (24%)]	Train Loss: 1.376786	Val Loss: 1.401899	Val Acc: 50
Train Epoch: 2 [14000/49000 (29%)]	Train Loss: 1.347181	Val Loss: 1.333699	Val Acc: 52
Train Epoch: 2 [16000/49000 (33%)]	Train Loss: 1.451625	Val Loss: 1.371460	Val Acc: 50
Train Epoch: 2 [18000/49000 (37%)]	Train Loss: 1.244773	Val Loss: 1.337043	Val Acc: 53
Train Epoch: 2 [20000/49000 (41%)]	Train Loss: 1.293903	Val Loss: 1.336131	Val Acc: 53
Train Epoch: 2 [22000/49000 (45%)]	Train Loss: 1.403970	Val Loss: 1.318118	Val Acc: 53
Train Epoch: 2 [24000/49000 (49%)]	Train Loss: 1.317878	Val Loss: 1.342067	Val Acc: 52
Train Epoch: 2 [26000/49000 (53%)]	Train Loss: 1.179310	Val Loss: 1.364063	Val Acc: 50
Train Epoch: 2 [28000/49000 (57%)]	Train Loss: 1.296631	Val Loss: 1.392214	Val Acc: 51
Train Epoch: 2 [30000/49000 (61%)]	Train Loss: 1.376113	Val Loss: 1.398411	Val Acc: 50
Train Epoch: 2 [32000/49000 (65%)]	Train Loss: 1.341045	Val Loss: 1.342557	Val Acc: 51
Train Epoch: 2 [34000/49000 (69%)]	Train Loss: 1.292945	Val Loss: 1.302331	Val Acc: 53
Train Epoch: 2 [36000/49000 (73%)]	Train Loss: 1.448245	Val Loss: 1.341436	Val Acc: 53
Train Epoch: 2 [38000/49000 (78%)]	Train Loss: 1.270443	Val Loss: 1.294552	Val Acc: 53
Train Epoch: 2 [40000/49000 (82%)]	Train Loss: 1.449038	Val Loss: 1.317190	Val Acc: 52
Train Epoch: 2 [42000/49000 (86%)]	Train Loss: 1.173934	Val Loss: 1.343147	Val Acc: 53
Train Epoch: 2 [44000/49000 (90%)]	Train Loss: 1.150402	Val Loss: 1.281328	Val Acc: 56
Train Epoch: 2 [46000/49000 (94%)]	Train Loss: 1.188874	Val Loss: 1.296989	Val Acc: 55
Train Epoch: 2 [48000/49000 (98%)]	Train Loss: 1.295153	Val Loss: 1.268078	Val Acc: 54
Train Epoch: 3 [0/49000 (0%)]	Train Loss: 1.121664	Val Loss: 1.283179	Val Acc: 54
Train Epoch: 3 [2000/49000 (4%)]	Train Loss: 1.302883	Val Loss: 1.274854	Val Acc: 54
Train Epoch: 3 [4000/49000 (8%)]	Train Loss: 1.199214	Val Loss: 1.254259	Val Acc: 55
Train Epoch: 3 [6000/49000 (12%)]	Train Loss: 1.261518	Val Loss: 1.365801	Val Acc: 53
Train Epoch: 3 [8000/49000 (16%)]	Train Loss: 1.340774	Val Loss: 1.328195	Val Acc: 54
Train Epoch: 3 [10000/49000 (20%)]	Train Loss: 1.257176	Val Loss: 1.256856	Val Acc: 57
Train Epoch: 3 [12000/49000 (24%)]	Train Loss: 1.218417	Val Loss: 1.203383	Val Acc: 57
Train Epoch: 3 [14000/49000 (29%)]	Train Loss: 1.282591	Val Loss: 1.235069	Val Acc: 56
Train Epoch: 3 [16000/49000 (33%)]	Train Loss: 1.216926	Val Loss: 1.215396	Val Acc: 57
Train Epoch: 3 [18000/49000 (37%)]	Train Loss: 1.268226	Val Loss: 1.293588	Val Acc: 55
Train Epoch: 3 [20000/49000 (41%)]	Train Loss: 1.252252	Val Loss: 1.393410	Val Acc: 49
Train Epoch: 3 [22000/49000 (45%)]	Train Loss: 1.207214	Val Loss: 1.209066	Val Acc: 57
Train Epoch: 3 [24000/49000 (49%)]	Train Loss: 1.170813	Val Loss: 1.266576	Val Acc: 56
Train Epoch: 3 [26000/49000 (53%)]	Train Loss: 1.111294	Val Loss: 1.274383	Val Acc: 55
Train Epoch: 3 [28000/49000 (57%)]	Train Loss: 1.267145	Val Loss: 1.207186	Val Acc: 57
Train Epoch: 3 [30000/49000 (61%)]	Train Loss: 1.191381	Val Loss: 1.240143	Val Acc: 54
Train Epoch: 3 [32000/49000 (65%)]	Train Loss: 1.223802	Val Loss: 1.228838	Val Acc: 56
Train Epoch: 3 [34000/49000 (69%)]	Train Loss: 1.249721	Val Loss: 1.242448	Val Acc: 56
Train Epoch: 3 [36000/49000 (73%)]	Train Loss: 1.163882	Val Loss: 1.327433	Val Acc: 52
Train Epoch: 3 [38000/49000 (78%)]	Train Loss: 1.256269	Val Loss: 1.210852	Val Acc: 57
Train Epoch: 3 [40000/49000 (82%)]	Train Loss: 1.507555	Val Loss: 1.260669	Val Acc: 55
Train Epoch: 3 [42000/49000 (86%)]	Train Loss: 1.336335	Val Loss: 1.206635	Val Acc: 57
Train Epoch: 3 [44000/49000 (90%)]	Train Loss: 1.211841	Val Loss: 1.185651	Val Acc: 59
Train Epoch: 3 [46000/49000 (94%)]	Train Loss: 1.239725	Val Loss: 1.215241	Val Acc: 56
Train Epoch: 3 [48000/49000 (98%)]	Train Loss: 1.252547	Val Loss: 1.185057	Val Acc: 57
Train Epoch: 4 [0/49000 (0%)]	Train Loss: 1.093861	Val Loss: 1.167749	Val Acc: 59
Train Epoch: 4 [2000/49000 (4%)]	Train Loss: 1.179487	Val Loss: 1.207580	Val Acc: 57
Train Epoch: 4 [4000/49000 (8%)]	Train Loss: 1.091292	Val Loss: 1.197130	Val Acc: 56
Train Epoch: 4 [6000/49000 (12%)]	Train Loss: 1.114552	Val Loss: 1.161791	Val Acc: 58
Train Epoch: 4 [8000/49000 (16%)]	Train Loss: 1.218382	Val Loss: 1.213251	Val Acc: 56
Train Epoch: 4 [10000/49000 (20%)]	Train Loss: 1.349538	Val Loss: 1.194252	Val Acc: 58
Train Epoch: 4 [12000/49000 (24%)]	Train Loss: 1.152562	Val Loss: 1.189377	Val Acc: 56
Train Epoch: 4 [14000/49000 (29%)]	Train Loss: 1.146691	Val Loss: 1.176642	Val Acc: 58
Train Epoch: 4 [16000/49000 (33%)]	Train Loss: 1.202044	Val Loss: 1.186655	Val Acc: 59
Train Epoch: 4 [18000/49000 (37%)]	Train Loss: 1.060976	Val Loss: 1.156109	Val Acc: 58
Train Epoch: 4 [20000/49000 (41%)]	Train Loss: 1.194069	Val Loss: 1.171560	Val Acc: 59
Train Epoch: 4 [22000/49000 (45%)]	Train Loss: 1.274881	Val Loss: 1.200608	Val Acc: 57
Train Epoch: 4 [24000/49000 (49%)]	Train Loss: 1.118289	Val Loss: 1.153758	Val Acc: 60
Train Epoch: 4 [26000/49000 (53%)]	Train Loss: 1.193810	Val Loss: 1.133726	Val Acc: 60
Train Epoch: 4 [28000/49000 (57%)]	Train Loss: 1.097469	Val Loss: 1.158732	Val Acc: 58
Train Epoch: 4 [30000/49000 (61%)]	Train Loss: 1.198539	Val Loss: 1.132821	Val Acc: 59
Train Epoch: 4 [32000/49000 (65%)]	Train Loss: 1.095933	Val Loss: 1.147396	Val Acc: 58
Train Epoch: 4 [34000/49000 (69%)]	Train Loss: 1.178034	Val Loss: 1.154611	Val Acc: 58
Train Epoch: 4 [36000/49000 (73%)]	Train Loss: 1.040302	Val Loss: 1.132408	Val Acc: 59
Train Epoch: 4 [38000/49000 (78%)]	Train Loss: 1.175467	Val Loss: 1.173104	Val Acc: 58
Train Epoch: 4 [40000/49000 (82%)]	Train Loss: 1.128947	Val Loss: 1.182404	Val Acc: 57
Train Epoch: 4 [42000/49000 (86%)]	Train Loss: 1.370595	Val Loss: 1.235736	Val Acc: 57
Train Epoch: 4 [44000/49000 (90%)]	Train Loss: 1.146057	Val Loss: 1.166034	Val Acc: 58
Train Epoch: 4 [46000/49000 (94%)]	Train Loss: 1.097762	Val Loss: 1.144594	Val Acc: 60
Train Epoch: 4 [48000/49000 (98%)]	Train Loss: 1.115830	Val Loss: 1.214489	Val Acc: 59
Train Epoch: 5 [0/49000 (0%)]	Train Loss: 1.060094	Val Loss: 1.137358	Val Acc: 59
Train Epoch: 5 [2000/49000 (4%)]	Train Loss: 1.240951	Val Loss: 1.135098	Val Acc: 59
Train Epoch: 5 [4000/49000 (8%)]	Train Loss: 1.074327	Val Loss: 1.102909	Val Acc: 60
Train Epoch: 5 [6000/49000 (12%)]	Train Loss: 1.049501	Val Loss: 1.133990	Val Acc: 61
Train Epoch: 5 [8000/49000 (16%)]	Train Loss: 0.981188	Val Loss: 1.130052	Val Acc: 60
Train Epoch: 5 [10000/49000 (20%)]	Train Loss: 1.092648	Val Loss: 1.126319	Val Acc: 61
Train Epoch: 5 [12000/49000 (24%)]	Train Loss: 0.994100	Val Loss: 1.153751	Val Acc: 60
Train Epoch: 5 [14000/49000 (29%)]	Train Loss: 1.124141	Val Loss: 1.112925	Val Acc: 59
Train Epoch: 5 [16000/49000 (33%)]	Train Loss: 1.059602	Val Loss: 1.114338	Val Acc: 60
Train Epoch: 5 [18000/49000 (37%)]	Train Loss: 1.126528	Val Loss: 1.100155	Val Acc: 62
Train Epoch: 5 [20000/49000 (41%)]	Train Loss: 1.000036	Val Loss: 1.107931	Val Acc: 61
Train Epoch: 5 [22000/49000 (45%)]	Train Loss: 1.218052	Val Loss: 1.257348	Val Acc: 56
Train Epoch: 5 [24000/49000 (49%)]	Train Loss: 1.104301	Val Loss: 1.126220	Val Acc: 60
Train Epoch: 5 [26000/49000 (53%)]	Train Loss: 1.146423	Val Loss: 1.130521	Val Acc: 59
Train Epoch: 5 [28000/49000 (57%)]	Train Loss: 1.092829	Val Loss: 1.111485	Val Acc: 61
Train Epoch: 5 [30000/49000 (61%)]	Train Loss: 1.035496	Val Loss: 1.118879	Val Acc: 62
Train Epoch: 5 [32000/49000 (65%)]	Train Loss: 1.172406	Val Loss: 1.135141	Val Acc: 62
Train Epoch: 5 [34000/49000 (69%)]	Train Loss: 1.017960	Val Loss: 1.183786	Val Acc: 59
